,한줄평,기업성장여부
0,"1. 내부구성원들을 위하는 기업문화가 형성되어있고, 실제로 운영측면에서도 배려마인드를 기반으로 운영중인 액션이 많이 있음.(피플팀, 우수타, 복리후생, 다양한 이벤트등등...)
2. 회사가 빠르게 성장하다보니 그 안에서 업무영역이 커져서 개인성장이 가능함.
3. '스타트업이 성장하면서 이런 과정을 겪는구나'를 눈으로 직접 확인할 수 있음.
4. 투자를 많이 받고 있고, 영업이익이 나고 있기 때문에 안정적으로 회사가 운영되고 있음.",성장
1,"그 누구의 눈치도 보지 않으며, 자유로운 의사소통에 내부 분위기, 팀별로 케바케 이지만 복지와 급여의 만족감을 갖고 충분히 워라벨생활을 즐길 수 있음",성장
2,"도서구입비 무제한 지원, 주 35시간 근무, 월요일은 오후1시 출근,",성장
3,"자율적인 분위기와 좋은 복지를 많이 갖춘 곳. 좋은 사람들이 많이 모여있고 그 안에서 기분좋게 웃으면서 일할 수 있는 곳이다. 4.5일제, 1시출근 도서비 등 일에 더더욱 집중할 수 있게 만들어준 환경이 좋았다.",성장
4,"1. 내부구성원들을 위하는 기업문화가 형성되어있고, 실제로 운영측면에서도 배려마인드를 기반으로 운영중인 액션이 많이 있음.(피플팀, 우수타, 복리후생, 다양한 이벤트등등...)
2. 회사가 빠르게 성장하다보니 그 안에서 업무영역이 커져서 개인성장이 가능함.
3. '스타트업이 성장하면서 이런 과정을 겪는구나'를 눈으로 직접 확인할 수 있음.
4. 투자를 많이 받고 있고, 영업이익이 나고 있기 때문에 안정적으로 회사가 운영되고 있음.",성장
5,"도서구입비 무제한
연차 눈치 없음
야근 없음
근무시간 대비 연봉 국내 탑
의미없는 회의 없음
뛰어난 동료들",성장
6,"사람들이 젊고 유능함
보고를 위한 보고 따위 없음. 효율적인 회의 문화
성과를 내기 위한 직원들 간의 자율적이고 끊임없는 소통
프로세스를 만들어나가는 즐거움
복지 좋음
끗",성장
7,"도서구입비 무제한 지원, 주 35시간 근무, 월요일은 오후1시 출근,",성장
8,"그 누구의 눈치도 보지 않으며, 자유로운 의사소통에 내부 분위기, 팀별로 케바케 이지만 복지와 급여의 만족감을 갖고 충분히 워라벨생활을 즐길 수 있음",성장
9,"자유로움, 임원직 제외하고는 정말 수평적 구조인 것 같음.
야근수당 잘 챙겨줌
복지 좋은 편 (놀 때는 확실히 놀고, 일할 때는 확실히 일하는 분위기)
구성원이 좋음
네임벨류",성장
10,자기 시간 많음 팀보단 자기 일만 잘하면 됨 결국 사람이 일하는곳,성장
11,"연차 자유롭게 사용할 수 있음
주 35시간 근무
회사 공간이 자유롭기 때문에 코웍에서도 자유롭게 일할 수 있고, 집중할 수 있는 곳으로 이동해서 일할 수 있음
좋은 동료 (부서마다 다르지만)
많은 일을 하기 때문에 단기간에 배우는 것이 많음",성장
12,"속해있던 부서(경영 전략 쪽) 기준으로 훌륭한 분들 아래에서 많이 배울 수 있었습니다.
본인 역랑 및 본인이 쏟는 인풋에 따라서 직급보다 더 많은 일을 할 기회도 주어집니다.
빡세게 달리고자 한다면 좋은 곳입니다.",성장
13,"인하우스에서 에이전시의 장점을 느낄 수 있다. 디자이너의 성장을 신경쓰고, 배우고 성장하는 것을 독려하는 분위기. 팀원끼리 서로 돕고, 좋은 정보를 공유하며 함께 성장할 수 있는 곳",성장
14,"안정적이며, 워라벨이 굉장히 잘 시행되어지고 있다. 직원분들이 대부분 친절하심",성장
15,서로 각자 할 일 하고 가는 것으로 퇴근 눈치없었음. 근무하면서 복지가 좋았음. 전체적으로 자유로운 분위기로 눈치보며 군대식 업무 할 필요없음.,성장
16,배민커넥트 같은 경우 자유롭게 일 할 수 있고 하고싶을 때 하고 싶은만큼만 일 할 수 있음.,성장
17,"입사개월수에 따라 배민이용권 줌
상하관계가 없음
상담사에게 무조건 적인 서비스를 요구하지는 않음",성장
18,복지는 진짜 좋고 모두가 눈치보지않고 누리도록 노력하는 편이다 오후 한시 출근 진짜 대박임,성장
